<<<<<<< HEAD
-2573.31 -9606.19
8714.62 6621.24
3133.15 -1122.11
663.46 -9223.17
6251.14 2908.3
-260.915 -5203.21
9611 -7922.07
-6249.7 1280.51
1471.97 -539.586
-8821.27 967.396
-972.299 -1426.06
-7868.84 8355.18
5460.89 1233.46
-9234.88 9401.99
-800.592 4451.02
8332.64 6744.92
1865.04 5681.49
8767.25 -8899.49
6353.99 -8414.37
-399.512 5403.67
-532.936 2948.05
7904.4 9306.61
-3854.05 4980.71
-9229.77 -4729.59
9718.82 4252.44
-9187.93 -1611.71
-8009.51 4156.32
-4795.98 -6109.5
-2293.47 -6340.82
9821.58 -8727.7
-6399.3 6900.04
8921.61 5580.9
-1818.36 -1192.22
2410.77 -2213.35
151.574 7505.34
2292.54 -9262.45
5920.96 -6491.06
4804.29 5714.08
-3472.21 2508.65
2809.63 1533.83
-943.548 1791.5
9815.76 -6496.58
-8017.86 3869.9
1397.6 9387.01
7475.82 6171.32
1440.12 4053.8
-7830.81 7512.84
8312.74 -7797.77
2818.94 -2066.83
2861.1 6532.33
8938.07 2179.66
-6463.58 6544.27
9508.19 4214.54
-6181.14 -6372.87
-8770.37 -3617.02
8780.01 5581.38
6284.28 -120.152
600.837 -1731.77
-5927.53 -4049.05
7583.71 -621.081
1489.92 1064.11
4505.12 -2515.92
-5049.38 -4985.33
-8359.6 143.988
13.7873 -8276.31
38.988 -4728.08
-4788.5 -340.994
8915.95 -9710
4057.57 -4465.24
-7308.48 6355.47
-3696.67 -9864.73
3468.54 -4167.29
403.281 -2055.78
8436.21 7426.65
-352.594 -6044.24
-5458.34 1670.07
8866.46 -1474.14
4131.79 2923.09
8410.07 8077.6
203.657 2871.6
2912.87 -3391.88
-7355.63 -6035.46
1943.65 7002.71
-5383.22 4283.51
-7063.45 4617.58
7652.75 -267.609
2297.11 7567.6
8710.36 -5052.03
-9407.64 5785.65
-552.684 -8962.01
-4460.52 -7923.43
-9028.82 -7344.15
6845.41 -9267.56
168.211 7118.04
-7150.47 2083.61
-815.815 8599.97
-345.766 8717.57
-3732.66 5199.97
-4097.09 256.309
7781.32 712.061
7608.58 -2661.34
-9210.57 -2085.17
-5503.64 341.53
95.6495 7580.78
-9865.38 -7426.86
-3183.67 -7989.96
-7250.44 1854.32
5584.99 6955.39
-771.176 -1156.76
-1698.09 284.299
-1782.35 4034.85
-6294.86 2329.46
-8749.55 6300.11
5918.64 -5351.17
2855.58 -6280.11
-9799.25 4000.07
9140.94 -8158.17
5655.08 4933.53
-2126.6 -1691.9
4258.24 8256.15
1188.64 -2600.24
-2300.14 1557.55
-2209.91 -2008.58
1744.08 -7246.42
9499.51 -1743.02
5100.4 2395.07
-6059.67 -4900.45
-1807.05 8893.07
5901.63 8731.05
2825.7 -8385.84
-781.76 967.239
-3608.69 8754.62
-1077.68 7471.74
-2510.7 2641.95
3315.7 7033.46
-8587.86 3802.1
1822.82 -3854.18
2878.55 -279.664
-319.135 -3706.61
2972.47 -1625.38
2204.37 8927.54
5141.71 -3307.83
5232.49 2468.99
-3632.79 3752.69
-8522.87 -3871.23
-3824.53 1188.8
137.107 4356.64
2075.04 -4739.77
-1339.63 4909.09
7078.55 9222.88
8967.89 3287.68
-3918.31 5010.62
-6460.99 -9865.67
7634.55 -6158.75
9939.63 -4656.69
-4927.83 -2040.77
861.666 2015.19
9225.23 8390.72
2803.36 -3901.45
8282.15 -1988.04
6968.52 -165.549
-2384.23 8209.18
-8295.11 4066.86
-8279.71 2883.8
7958.89 5104.04
3610.58 3057.85
-6751.83 1929.81
-5606.06 -1030.67
-2394.3 -1018.37
4311.69 6642.42
-833.258 -4571.29
-9597.69 -8400.77
8342.57 -6508.49
-8220.61 -3781.21
9228.97 -8658.66
-6151.49 -8052.91
-5246.74 -1990.64
3287.83 -1499.49
-1920.57 919.887
544.099 4676.94
5367.38 9548.72
5272.71 -1580.64
-5854.35 6013.73
-7160.86 7375.1
-6752.8 5656.29
5240.3 -6289.21
-2786.61 5409.54
-1903.62 5831.03
2183.66 826.13
4769.92 8059.47
-4508.2 -9371.97
5298.53 -7628.19
-6977.03 -2995.96
6855.96 8116.16
8351.94 -8927.05
3051.56 7587.49
2867.21 9181.11
6998.29 240.292
-1409.31 -6233.97
5645.87 -9889.9
517.776 2254.95
-1073.51 -2409.16
9256.12 7629.31
5788.65 9854.3
1208.57 -7486.07
1635.25 3606.49
-5671.14 5223.27
7559.79 -2642.57
6265.21 -660.062
6334.53 4450.28
-4190.64 7868.6
7564.78 1259.39
6599.97 5748.1
8381.81 -7002.42
-9750.35 5913.16
2452.79 4034.45
7015.48 9089.67
-9954.75 -9486.65
-2205.21 -2905.28
-9000.58 7314.5
-5195.1 5900.33
6905.19 -4496.36
9715.84 -5923.66
1006.23 -8229.15
-7389.29 8154.51
-7173 3328.81
7388.33 -4286.06
4114.84 -1906.82
-7867.25 -4888.34
1589.49 -5515.23
5490.14 -7277.44
8107.26 -1296.85
3872.08 -1874.66
-7450.04 7243.93
8683.42 2187.19
102.581 4085.05
-2566.55 4071.98
-2281.84 9038.23
5472.34 -6343.36
7224.06 -5231.76
9840.95 -3211
-7253.52 -9857.63
2803.61 349.518
-5652.85 -7401.24
7374.17 -2312.88
7487.41 962.924
3864.5 -9297.35
-486.353 5872.21
-5844.46 -7758.56
1798.14 1279.54
5205.18 3429.27
-4259.24 -4985.8
3635.43 663.52
-8221.86 -4804.25
-4946.78 -563.037
-2962.86 3249.3
-9033.87 7702.18
-9537.33 6081.08
4716.21 5309.38
-5326.22 2183.52
-1544.48 1973.89
-4792.62 -9633.16
-4568.18 2560.99
2557.56 4900.23
-1877.29 8377.78
5336.89 -2867.16
-8330.39 -8840.72
-5941.77 -3321.35
-1967.32 -4782.31
3639.68 -7923.05
-2735.63 2191.29
9084.98 -8696.48
-1696.19 -7800.24
1425.43 -2797.56
1424.12 -4842.41
-6325.26 -8577.65
-4497.85 4634.05
4403.65 -7818.23
-998.94 -9176.41
-7866.65 5181.84
-8738.51 -8147.16
-9385.12 4326.94
2892.31 -8989.17
-896.721 8810.73
1899.17 -632.967
1729.36 5298.03
4037.2 -6829.14
2672.22 -8015.53
2974.35 9956.05
-8620.64 -7140.02
-2326.95 -8985.39
2478.71 -272.981
-7995.4 1367.31
332.404 6721.98
-3714.98 2411.35
7591.83 -4045.93
77.2014 -2476.18
2843.26 6747.96
-7114.08 -6323.83
-4576.83 -2824.46
9251.41 8417.22
8158.05 -7620.59
666.354 -594.02
-3702.23 -3422.24
2333.79 4026.45
-7484.75 3800.78
-331.439 9498.17
-4219.1 9618.9
4806.58 4145.47
-7163.54 2443.28
4282.45 -4946.86
-1859.08 -5620.57
-4992.06 -1495.72
1447.66 -9178.59
-4507.36 4719.09
-6175.43 9530.21
-5760.51 3104.31
-5887.42 -9934.13
-2879.93 -2920.2
222.987 7737.92
-8731.54 9048.18
-7299.59 -4224.28
